study_id,first_author,year,title,journal,doi,publication_type,country,study_design,enrollment_start,enrollment_end,setting,cyst_selection,n_patients,n_cysts,age_value,age_type,male_pct,cyst_size_mean_cm,cyst_size_range,n_bosniak_I,n_bosniak_II,n_bosniak_IIF,n_bosniak_III,n_bosniak_IV,malignancy_rate,reference_standard,bosniak_version,imaging_modalities,ct_detector,ct_contrast_phases,mr_field_strength,mr_sequences,ceus_agent,ceus_MI_reported
Yenice_2020,Yenice,2020,Comparison of computed tomography and magnetic resonance imaging in the assessment of complex renal cysts by using the Bosniak classification.,Actas Urologicas Espanolas,10.1016/j.acuro.2019.11.007,journal_article,Turkey,retrospective cohort,2013,2016,"single center, Bakirkoy Dr. Sadi Konuk Training and Research Hospital, Istanbul","Complex cystic renal lesions with Bosniak category >= IIF on CT or MRI, evaluated at multidisciplinary urology council. Excluded: time between MRI and CT >6 months (n=3), multiple cysts in each kidney (n=12), polycystic kidney disease (n=4), prior renal surgery (n=2), follow-up <2 years or lost to follow-up (n=19), unable to receive contrast (n=2). Initial pool 144, final 102.",102,102,52.1,mean,52.9,5.23,1.6-16.0 cm,,,,,,0.686,surgical pathology (n=51) or minimum 2-year imaging follow-up without progression (n=51),1986,"['CT', 'MRI']","128-channel multidetector CT (Somatom Definition AS, Siemens Healthcare, Erlangen, Germany)","pre-contrast, corticomedullary (50s), nephrographic (100s)","3T (Magnetom Verio, Siemens)","3D GRE T1W, 2D GRE T1 in/out-of-phase, respiratory-triggered TSE T2W fat-sat, coronal T2 HASTE, DWI (b=0,500,1000), dynamic contrast-enhanced 3D GRE T1W",,
Lerchbaumer_2020,Lerchbaumer,2020,Contrast-enhanced ultrasound (CEUS) of cystic renal lesions in comparison to CT and MRI in a multicenter setting.,Clinical hemorheology and microcirculation,10.3233/CH-190764,journal_article,Germany,Retrospective multicenter comparative study,2010,2017,"Three German ultrasound departments (Charite Berlin, University Hospital Regensburg, Ludwig-Maximilians-University Munich)",Regular patients with a cystic renal lesion who received CEUS and had additional ceCT or ceMRI,173,173,66,median,63.3,,,8,49,142,44,27,,"ceCT as gold standard; histopathology in 35 cases (17 total nephrectomy, 14 partial nephrectomy, 4 biopsy/RFA)",Original (pre-2019),"['CEUS', 'ceCT', 'ceMRI']",Not specified (multiphase local protocols),Multiphase (local protocols with iodinated contrast),Not specified,Not specified (multiphase local protocols with gadolinium contrast),"SonoVue (Bracco, Milan, Italy), second-generation blood pool contrast agent",<0.3
Shaish_2019,Shaish,2019,"Active Surveillance of Small (< 4 cm) Bosniak Category 2F, 3, and 4 Renal Lesions: What Happens on Imaging Follow-Up?",American Journal of Roentgenology,10.2214/AJR.18.20758,journal_article,USA,retrospective,2005-01-01,2017-09-09,"single center, NYU Langone Health, New York","small (<4 cm) Bosniak category 2F, 3, and 4 lesions with initial and >=1 year follow-up contrast-enhanced CT or MRI",123,138,61,mean,69.1,2.1,0.2-4.0 cm,0,0,83,37,18,,"histopathology for resected (9/138), imaging follow-up for remainder",original (pre-2019),"['CT', 'MRI']","multiple (HiSpeed Advantage GE; Somatom Volume Zoom, Sensation 16/64, Edge, Force Siemens)",varied,"multiple (Avanto, Sonata, Symphony, Prisma, Skyra, Biograph Siemens)",varied,,
Glomski_2018,Glomski,2018,Dual energy CT for evaluation of polycystic kidneys: a multi reader study of interpretation time and diagnostic confidence.,Abdominal Radiology (New York),10.1007/s00261-018-1674-1,journal_article,USA,retrospective,2013-09,2016-02,"single institution, Emergency Department, Brigham and Women's Hospital, Boston",patients with polycystic kidneys (>=4 cysts in at least one kidney) who had portal venous phase dual-source DECT,55,55,67,mean,56.4,,,,,,,,,"limited (incidental findings, limited follow-up)",original (2003 Israel & Bosniak IIF criteria),['DECT'],"dual-source DECT (SOMATOM Definition Flash, Siemens)",['portal venous (70s)'],,,,
Pitra_2018,Pitra,2018,Magnetic resonance imaging as an adjunct diagnostic tool in computed tomography defined Bosniak IIF-III renal cysts: a multicenter study.,World Journal of Urology,10.1007/s00345-018-2176-z,journal_article,"Czech Republic, Austria, Poland","retrospective, multicenter",2009,2016,"Charles University Hospital Plzen, Medical University of Vienna, Jagiellonian University","Consecutive patients with cystic renal lesion classified as Bosniak IIF-III on CT, with subsequent MRI and documented outcome (surgery or follow-up)",46,46,,,76.1,3.92,0.7-10 cm,0,0,12,34,0,,surgery or imaging follow-up,original Bosniak (pre-2019),"['CT', 'MRI']",,,,,,
Destefani_2017,Destefani,2017,Minimally Complex Renal Cysts: Outcomes and Ultrasound Evaluation Compared with Contrast-Enhanced Cross-Sectional Imaging Bosniak Classification.,Ultrasound in Medicine & Biology,10.1016/j.ultrasmedbio.2017.06.028,journal_article,Brazil,retrospective,2003-01,2015-07,,,98,98,59.2,mean,77.5,3.54,0.8-7.4 cm,11,36,28,8,8,,histopathology or imaging follow-up >=24 months,2005,"US, CT, MRI",,,,,,
Sanz_2016,Sanz,2016,Renal Complex Cystic Masses: Usefulness of Contrast-Enhanced Ultrasound (CEUS) in Their Assessment and Its Agreement with Computed Tomography.,Current Urology Reports,10.1007/s11934-016-0646-7,journal_article,Spain,prospective observational,2011-04,2014-07,"single center, Hospital Universitario Ramón y Cajal, Madrid",consecutive patients with Bosniak 2-4 renal complex cystic masses,66,67,67.8,median,72.7,,"CEUS median 3.8 (IQR 3.2-4.6), CT median 3.9 (IQR 3.2-4.5)",,,,,,,histopathology (24 patients underwent surgery) or follow-up,original (pre-2019),"['CEUS', 'CT']",,,,,"Sonovue (Bracco, Milan, Italy)",
Karmazyn_2015,Karmazyn,2015,Ultrasound classification of solitary renal cysts in children.,Journal of Pediatric Urology,10.1016/j.jpurol.2015.03.001,journal_article,USA,retrospective,2003,2011,"single center, tertiary care children's hospital (Riley Hospital for Children, Indiana University)","all children <18 years with solitary renal cysts on US; excluded: multiple cysts, prior renal surgery, transplanted kidney, renal abscess, prior renal tumor, syndromes (PKD, tuberous sclerosis, VHL)",212,212,8.4,"mean (range 1 day to 17 years, median 8.1 years)",46.2,,,,,,,,0.47,pathology (surgical resection) or imaging follow-up; definitive diagnosis in 18/212 (8.5%),"modified Bosniak for US (4 categories, pediatric)",['US'],,,,,,
Seppala_2014,Seppala,2014,Inter-rater agreement in the characterization of cystic renal lesions on contrast-enhanced MRI.,Abdominal Imaging,10.1007/s00261-014-0162-5,journal_article,Canada,retrospective,,,"single tertiary care center, The Ottawa Hospital, General Campus",consecutive 100 cases from database over 7-year period undergoing renal protocol MRI with cystic renal lesion,100,100,,,,,smallest 1 cm (not further specified),,,,,,,histopathology for 23 lesions (16 RCC); follow-up MRI for 55 lesions,"original (pre-2019, includes IIF)",['MRI'],,,1.5T and 3T,"T1-weighted unenhanced, two-plane T2-weighted, gadolinium-enhanced, subtraction images",,
Weibl_2011,Weibl,2011,Interpersonal variability and present diagnostic dilemmas in Bosniak classification system.,Scandinavian Journal of Urology and Nephrology,10.3109/00365599.2011.562233,journal_article,Austria/Slovakia,"retrospective, multi-center (2 centers)",1996-04,2009-05,"University of Vienna (AKH, Vienna) and University Hospital Bratislava-Petrzalka (academic, tertiary)","Complex renal cystic masses categorized by Bosniak system; excluded if insufficient CT data, solid/necrotic masses, or surgery done elsewhere",104,113,,mean per category,56.6,,1.0-18,0,26,15,28,44,,Surgical pathology in 71/113 (62.8%); 5-year follow-up for Bosniak II/IIF,"original (with IIF, post-2003)",['CT'],"multislice, 5mm section",four-phase CT,,,,
Bertolotto_2010,Bertolotto,2010,Characterization of atypical cystic renal masses with MDCT: comparison of 5-mm axial images and thin multiplanar reconstructed images.,American Journal of Roentgenology,10.2214/AJR.09.3113,journal_article,Italy,retrospective,2006-01,2008-01,"two hospitals (Ospedale di Cattinara, University of Trieste; Ospedale Civile Ferrari, Castrovillari)","complex cystic renal masses identified via radiology database search (keywords: cyst, renal/kidney, Bosniak, complex/complicated, septation, calcification, neoplasms)",59,70,68,mean_sd,76.3,,,0,,,,,0.243,"surgery (21 masses) or imaging follow-up minimum 2 years (mean 32 months, range 24-50 months); 2 autopsy confirmed benign",original (Israel & Bosniak 2005 formulation),['CT'],"64-MDCT (Aquilion 64, Toshiba)","['unenhanced', 'corticomedullary', 'nephrographic (90s)']",,,,
Clevert_2008,Clevert,2008,Multislice computed tomography versus contrast-enhanced ultrasound in evaluation of complex cystic renal masses using the Bosniak classification system.,Clinical hemorheology and microcirculation,10.3233/CH-2008-1083,journal_article,Germany,retrospective,2004-12,2007-03,"Department of Clinical Radiology, University Hospitals-Grosshadern, Ludwig-Maximilians-University Munich",consecutive patients with atypical or complex cystic renal masses at MS-CT who underwent conventional US and CEUS,32,37,,range_only,56.3,3.3,1-6.5,0,,,,,,"surgery (14 masses resected: 11 initially stated, later 14) or imaging follow-up 3 months to 2 years",original (Bosniak 1986/2003/2005),"['CT', 'CEUS']","64-detector (Somatom Sensation 64, Siemens)","['unenhanced', 'contrast-enhanced (protocol details in text)']",,,"SonoVue (Bracco, Italy)",0.15-0.19
Siegel_1997,Siegel,1997,CT of cystic renal masses: analysis of diagnostic performance and interobserver variation.,American Journal of Roentgenology,10.2214/ajr.169.3.9275902,journal_article,USA,retrospective,1989-01,1995-06,"single center, Mallinckrodt Institute of Radiology, Washington University School of Medicine, St. Louis, MO",consecutive pathologically proven cystic renal masses with preoperative CT within 4 months of surgery,46,70,,,,,>=1 cm (exclusion criterion),22,8,,11,29,45.7,histopathology (all surgically proven),"original (1986, pre-IIF category)",['CT'],,unenhanced and enhanced (IV) in 42 lesions; enhanced only in 28 lesions,,,,
Kang_2022,Kang,2022,"MRI‑based Bosniak version 2019 for Ⅱ , Ⅱ F and III cystic renal masses: improved interobserver agreement by subtraction imaging",Chinese Journal of Radiology (China),10.3760/cma.j.cn112149-20210926-00879,journal_article,China,retrospective,,,"single/multi-center, Chinese PLA General Hospital (likely)","Bosniak II, IIF, and III cystic renal masses on MRI",,187,,,,,,,,,,,,,2019,['MRI'],,,,,,
Lucocq_2020,Lucocq,2020,Can MRI be a reliable follow-up imaging modality in patients with CT detected and classified Bosniak renal cysts?,British Journal of Surgery,10.1002/bjs.12069,conference_abstract,United Kingdom (Scotland),Conference abstract; retrospective,,,,,,32,,,,,,,,,,,,,Not specified,"['CT', 'MRI']",,,,,,
Verzotti_2019,Verzotti,2019,"Characterization of complex renal cystic masses: Comparison among CT, MRI and CEUS in the same series of patients",European Urology Supplements,10.1016/S1569-9056(19)31398-3,conference_abstract,Italy,retrospective,,,,,36,36,,,,,,,,,,,,surgery or follow-up >3 years,2005,"CT, MRI, CEUS",,,,,,
Foukal_2014,Foukal,2014,Comparison of contrast-enhanced ultrasonography and CT in the classification of renal cystic lesions,Ceska Radiologie,,journal_article,Czech Republic,retrospective,2007,2013,"single institution, Faculty Hospital Brno (FN Brno)",patients who had CEUS and CT of kidneys with cystic lesion on at least one method; histologically verified or followed >=2 years,94,112,67.5,mean,69.1,,,,,,,,,histopathology (21 lesions) or imaging follow-up >=2 years (91 lesions),original (2005) for CT; Ascenti modification for CEUS,"['CEUS', 'CT']",Siemens Somatom Plus (single-row spiral) or Philips Brilliance 64 (64-row helical),"['unenhanced', 'corticomedullary', 'nephrographic']",,,SonoVue (Bracco),0.06-0.08
Moreira_2013,Moreira,2013,Contrast ecography for classification of kidney cystic injury with bosniak criteria adapted to ceus,Ultrasound in Medicine and Biology,,journal_article,,Not specified (abstract only),,,,,35,18,,,,,,,,,,,,,Bosniak criteria adapted to CEUS,"['CEUS', 'CT', 'MRI']",,,,,,
Bertelli_2011,Bertelli,2011,Contrast-enhanced ultrasound for characterization and follow-up of renal lesions,Anticancer Research,,journal_article,,,,,,,29,42,,,,,,,,,,,,,unclear,"['CEUS', 'CECT']",,,,,,
Valentino_2010,Valentino,2010,Complex renal cystic lesions: Assessment with contrast-enhanced US (CEUS) and computer tomography,Anticancer Research,,journal_article,,,,,,Complex renal cystic lesions assessed by CT and CEUS,102,108,,,,,,,,,,,,,original (pre-2019),"['CT', 'CEUS']",,,,,,
Benjaminov_2006,Benjaminov,2006,Enhancing component on CT to predict malignancy in cystic renal masses and interobserver agreement of different CT features.,American Journal of Roentgenology,10.2214/AJR.04.0372,journal_article,Canada,retrospective,1993-01,2000-03,single_center,consecutive,30,32,59,mean,63.3,5.3,1.8-17 cm,0,,,,,65.6,surgical pathology,2005,['CT'],"single-detector (HighLight Advantage, n=11) and MDCT (LightSpeed Qxi, n=26), both GE Healthcare","unenhanced + enhanced (corticomedullary 20-30s for 11 masses, nephrographic 90-100s for all 32)",,,,
Járay_2023,Járay,2023,Additional value of microvascular flow imaging in the assessment of cystic and solid renal lesions.,Physiology international,10.1556/2060.2022.00133,journal_article,Hungary,retrospective,,,"single center, University of Pecs",cystic and solid renal lesions undergoing CEUS,92,92,,,,,,12,22,17,,,,CEUS as reference standard for comparison; histopathology for 7 resected lesions,2005,"CEUS, MV-flow (microvascular flow imaging), color Doppler, CE-MV-flow",,,,,,
Münch_2024,Münch,2024,Intra- and Interobserver Study Investigating the Adapted EFSUMB Bosniak Cyst Categorization Proposed for Contrast-Enhanced Ultrasound (CEUS) in 2020.,"Ultraschall in der Medizin (Stuttgart, Germany : 1980)",10.1055/a-2048-6383,journal_article,Germany,Retrospective reader agreement study,2017,2021,"Charite University Hospital Berlin, Department of Radiology","CEUS examinations of renal cysts from hospital database; 263 cases identified, 84 met inclusion criteria after excluding duplicates, low-quality images, and balancing Bosniak class proportions",84,84,,,,,,15,36,14,8,11,,"Expert consensus reading (two CEUS experts, co-authors of EFSUMB position paper); disagreements resolved by third expert (>30 years experience)",EFSUMB 2020 adapted Bosniak classification for CEUS,['CEUS'],,,,,Not specified (but same group as Lerchbaumer - likely SonoVue),
Kang_2024,Kang,2024,"Multiparametric MRI-Based Machine Learning Models for the Characterization of Cystic Renal Masses Compared to the Bosniak Classification, Version 2019: A Multicenter Study.",Academic Radiology,10.1016/j.acra.2024.01.003,journal_article,China,"retrospective, multicenter",2009,2021,multicenter (18 institutions),consecutive surgery-proven CRM patients with renal MRI,326,326,,,,,,6,3,6,19,14,,surgical pathology,2019,['MRI'],,,"3.0T (mainly), 1.5T","['FS T2WI', 'DWI (b=800)', 'ADC', 'T1WI', 'DCE (CP 30s, NP 90s, EP >240s)']",,
Gomma_2023,Gomma,2023,Role of magnetic resonance imaging in characterization of cystic renal lesions based on Bosniak classification version 2019,Egyptian Journal of Radiology and Nuclear Medicine,10.1186/s43055-023-01154-2,journal_article,Egypt,prospective,,,,,84,84,,,,,,,,,,,,histopathology (n=45) or imaging follow-up (n=39),both,MRI,,,,,,
Das_2023,Das,2023,Role of Contrast-Enhanced Ultrasound in Evaluation of Cystic Renal Mass.,Journal of Ultrasound in Medicine,10.1002/jum.16328,journal_article,India,prospective cohort,2015-07,2020-07,"single institution, All India Institute of Medical Sciences (AIIMS), New Delhi","patients >=18 years with cystic renal masses (<=25% enhancing tissue) on CECT; excluded: pregnancy, contrast allergy, acute pyelonephritis, AKI",40,40,49.5,mean_sd,80,3.1,,,,,,,0.425,histopathology (20 patients with Bosniak III/IV underwent surgery) or imaging follow-up for 3 years (16 patients with Bosniak I/II/IIF),v2019 (reassigned from original to v2019),"['CT', 'CEUS']",Siemens DF scanner,"['venous phase, 60 mL nonionic contrast, 1mm slice, 0.3mm post-processing']",,,"SonoVue (Bracco), 2 ml bolus",
Walmer_2023,Walmer,2023,The Performance of Flash Replenishment Contrast-Enhanced Ultrasound for the Qualitative Assessment of Kidney Lesions in Patients with Chronic Kidney Disease.,Journal of clinical medicine,10.3390/jcm12206494,journal_article,USA,cross-sectional observational,,,Nephrology clinics at University of North Carolina Hospital,"Kidney lesions in patients with CKD, evaluated by flash replenishment CEUS",53,63,60,mean_sd,62.3,,,,,,,,22.2,Tissue pathology in 12/63 (19%); follow-up imaging >=12 months in 51/63 (81%),modified CEUS-adapted (based on original),['CEUS (flash replenishment)'],,,,,"Perflutren Lipid Microspheres (DEFINITY, Lantheus)",0.18
Shen_2023,Shen,2023,Risk of malignancy in T1-hyperintense Bosniak version 2019 class II and IIF cystic renal masses.,Abdominal Radiology (New York),10.1007/s00261-023-03955-5,journal_article,USA,"retrospective, single-institution",2000-01,2022-06,Stanford University School of Medicine,"Bosniak class II and IIF, non-enhancing, T1-hyperintense cystic renal masses >=1 cm",72,72,66,median,68,,"1.0-8.8 cm, median 1.7 cm (IQR 1.2-2.3)",0,,,0,0,6.9,"histopathology (9 masses) or imaging follow-up (63 masses; 5-year stability, >=30% decrease, resolution, or down-classification)",v2019,['MRI'],,,1.5T or 3.0T,"T2-weighted breath-hold, in-phase/opposed-phase, DWI, 3D GRE fat-saturated T1-weighted (VIBE Dixon/LAVA Flex/mDIXON), gadolinium-enhanced multiphase",,
Lucocq_2024,Lucocq,2024,Validation of the updated Bosniak classification (2019) in pathologically confirmed CT-categorised cysts.,Scottish medical journal,10.1177/00369330231221235,journal_article,United Kingdom (Scotland),Retrospective single-center,2009-01,2019-12,"Victoria Hospital Kirkcaldy and Ninewells Hospital, Dundee, Scotland",Resected or biopsied complex renal cysts with pathological confirmation,59,61,62,median,56.5,,,0,0,10,23,28,83.6,"Histopathology: resection (60 cases), biopsy (1 case)",Both v2005 and v2019 compared,['CT'],Not specified,Minimum dual-phase (pre-contrast + nephrographic 100s); more recently triple-phase with arterial (20-30s); 100 mL Omnipaque,,,,
Guo_2024,Guo,2024,Differentiating mixed epithelial and stromal tumor family from predominantly cystic renal cell carcinoma using magnetic resonance imaging-based Bosniak classification system version 2019.,Japanese journal of radiology,10.1007/s11604-024-01588-2,journal_article,China,retrospective,2009-01,2021-09,"First Medical Center of Chinese PLA General Hospital, Beijing (single center)","36 patients with pathologically confirmed MESTF (Jan 2009-Sep 2021) and 77 with predominantly cystic RCC (Jan 2020-Sep 2021); all with preoperative renal MRI within 3 months, <25% enhanced solid components, complete mpMRI sequences",113,113,,,72.6,,,1,3,30,39,40,68.1,Surgical pathology (all lesions histologically confirmed),2019,['MRI'],,,"3.0T (GE Discovery 750, n=97) and 1.5T","fat-suppressed T2WI, fat-suppressed T1WI, DWI, fat-suppressed multi-phase dynamic contrast-enhanced imaging (corticomedullary 25-30s, nephrographic 90-120s, excretory 4-6min), subtraction imaging",,
Sebastià_2026,Sebastià,2026,Defining new radiological patterns to improve classification of Bosniak III and IV cystic renal masses.,Abdominal Radiology (New York),10.1007/s00261-025-05092-7,journal_article,Spain,retrospective,,,,cystic renal masses with confirmed pathology,57,57,,,,,,,,,,,,histopathology,v2005 and v2019,CT (four-phase),,,,,,
Kang_2025,Kang,2025,T1-Hyperintense Cystic Renal Masses: MR Subtraction Imaging May Improve Interobserver Agreement and Diagnostic Performance in the Bosniak Classification.,Journal of Magnetic Resonance Imaging,10.1002/jmri.29822,journal_article,China,retrospective,2009-01,2023-12,"single center, First Medical Center of Chinese PLA General Hospital, Beijing",consecutive T1-hyperintense CRMs (hyperintense relative to adjacent normal renal cortex on unenhanced fat-saturated T1WI),139,141,50,mean +/- SD (50 +/- 12),69.8,,,,,,,,63.8,surgical pathology (133/141) or 5-year MRI follow-up stability (8/141),2019,['MRI'],,,1.5T (n=1 scanner) and 3.0T (n=2 scanners),"['fat-sat T2WI', 'DWI (b=0, 800 or 1000)', 'unenhanced fat-sat T1WI', 'triphasic DCE T1WI (corticomedullary, nephrographic, excretory)', 'subtraction images']",,
He_2025,He,2025,Clinical value of contrast-enhanced ultrasound combined with quantitative analysis in Bosniak ≥ II cystic renal masses.,Abdominal Radiology (New York),10.1007/s00261-024-04744-4,journal_article,China,retrospective,2013-03,2024-08,,,58,58,56.41,mean,65.52,,,0,,,,,48.28,surgical pathology,2019,"['CEUS', 'CECT']",,,,,,
Jin_2024,Jin,2024,"Contrast-enhanced US Bosniak Classification: intra- and inter-rater agreement, confounding features, and diagnostic performance.",Insights into imaging,10.1186/s13244-024-01858-7,journal_article,China,retrospective,2013-01,2023-08,"Department of Medical Ultrasonics, First Affiliated Hospital of Sun Yat-Sen University, Guangzhou (single center)","From 1871 patients with renal CEUS, 103 patients (103 masses) meeting inclusion criteria; pathologic confirmation (biopsy or resection) or stability over >=2 years confirming benign diagnosis",103,103,50.1,mean,64.1,3.4,,,,,,,51.5,"Pathologic confirmation (radical nephrectomy n=39, partial nephrectomy n=32, cyst decapitating decompression n=7, ablation n=7) or clinical follow-up >=2 years (n=18)",CEUS Bosniak (EFSUMB 2020),"['CEUS', 'CT', 'MRI']",,,,,SonoVue,
Abufaraj_2025,Abufaraj,2025,Interrater agreement and reliability of the Bosniak classification for cystic renal masses version 2019.,Urologic Oncology,10.1016/j.urolonc.2024.10.011,journal_article,Jordan,retrospective,2018-01,2023-02,single_center,random,40,40,58,median,85,,,8,8,8,8,8,,"histopathology (9 patients only, all RCC)",both,['CT'],64-slice dual-source (Siemens SOMATOM),"triphasic (noncontrast, corticomedullary 30-40s, nephrogenic 80-100s)",,,,
Bai_2022,Bai,2022,Test-retest reliability analysis of MRI criteria in the 2019 Bosniak classification of cystic renal masses,Chinese Journal of Radiology (China),10.3760/cma.j.cn112149-20211013-00918,journal_article,,,,,,,,,,,,,,,,,,,,,2019,MR,,,,,,
Rocca_2016,Rocca,2016,COMPLEMENTARY VALUE OF CONTRAST-ENHANCED ULTRASOUND (CEUS) IN THE DIAGNOSTIC ALGORITHM OF COMPLEX RENAL CYSTS,Anticancer Research,,journal_article,,unclear (abstract only),,,,,42,42,,,,,,,,,,,,,original Bosniak (pre-2019),"['CEUS', 'CECT']",,,,,,
Chang_2015,Chang,2015,Contrast-Enhanced Ultrasound Characterizes Kidney Lesions with Accuracy Comparable to Contrast-Enhanced CT or MR,Journal of the American Society of Nephrology,,journal_article,,,,,,,33,33,,,,,,,,,,,,,,"CEUS, CT",,,,,,
Sun_2023,Sun,2023,Contrast enhanced ultrasound diagnosis of complex cystic renal mass: Interobserver variability based on different Bosniak classification systems,WFUMB Ultrasound Open,10.1016/j.wfumbo.2023.100007,journal_article,China,retrospective,2012-01,2022-01,,,210,212,54.75,mean,65.24,,,,,,,,,surgical pathology (166 cases) or >=12-month imaging follow-up stability (46 cases),both,['CEUS'],,,,,,
Urraro_2026,Urraro,2026,Imaging Assessment of Complex Renal Cysts: Comparative Value of Superb Microvascular Imaging and Contrast-Enhanced Ultrasound.,Journal of personalized medicine,10.3390/jpm16010033,journal_article,Italy,retrospective,,,,,80,92,,,,,,,,,,,,CEUS as reference; histopathology for Bosniak III-IV (n=18),2019,"SMI (Superb Microvascular Imaging), CEUS",,,,,,
Jin_2026,Jin,2026,ChatGPT-4V prompt: A tool to enhance junior radiologists' diagnostic capabilities in cystic renal masses to senior-level accuracy.,Computational and structural biotechnology journal,10.1016/j.csbj.2025.12.030,journal_article,China,retrospective,2013-01,2023-08,,,103,103,50,mean,64.08,,,,,,,,51.46,surgery/biopsy within 6 months (n=85) or 3-year imaging follow-up (n=18),2019,"['CEUS', 'CECT']",,,,,,
He_2026,He,2026,Evaluating the Feasibility of Standard Ultrasound in the Bosniak Classification of Cystic Renal Masses Compared with Computed Tomography/Magnetic Resonance Imaging: A Multicenter Study.,Ultrasound in Medicine & Biology,10.1016/j.ultrasmedbio.2025.10.015,journal_article,China,"retrospective, multicenter",2016-07,2022-06,"Six centers: Sichuan Cancer Hospital (lead), Third Hospital of Mianyang, Third People's Hospital of Sichuan Province, Affiliated Hospital of Panzhihua College, Mianyang Cancer Hospital, Luxian People's Hospital","CRMs imaged by US; pathology-proven or >=3y follow-up. Excluded: inadequate imaging quality, congenital anomalies, severe degeneration, transplanted kidneys, US-CT/MRI interval >3 months",550,603,60,median,64,5.4,IQR 3.0-6.9 cm,,,191,105,44,18.1,"Histopathology (n=239, 70 malignant, 169 benign) or clinical reference standard (>=3y follow-up, <10% size change, stable features; n=364, 39 malignant, 325 benign)",2019 (CT/MRI); US-adapted Bosniak proposed by authors,"['US (B-mode, color Doppler)', 'CT', 'MRI']",,,,,,
Kim_2010,Kim,2010,Malignant renal cysts: diagnostic performance and strong predictors at MDCT.,"Acta radiologica (Stockholm, Sweden : 1987)",10.3109/02841851003641826,journal_article,South Korea,retrospective,2001-02,2006-10,"single center, Asan Medical Center, University of Ulsan, Seoul","patients who underwent surgical excision of cystic renal masses with preoperative MDCT; excluded: no IV contrast (n=20), poor image quality (n=3), numerous cysts difficult to match (n=3)",125,125,54,"mean +/- SD (54 +/- 12, range 22-75)",68,,,,,,,,42.4,surgical pathology (all 125 surgically excised),2005 (Israel & Bosniak update),['CT (MDCT)'],"4-channel (GE LightSpeed QX/i, n=58) and 16-channel (Siemens Sensation 16, n=67)","['unenhanced', 'corticomedullary (bolus trigger at 100 HU)', 'late nephrographic (120-150s)']",,,,
Angelini_2019,Angelini,2019,Comparison of computed tomography and contrast enhanced ultrasound for the management of complex renal cysts: A single-center experience,European Urology Supplements,,,Italy,retrospective single-center,2017-03,2018-09,,,60,65,,,,,,,,,,,,,original (1993/2005),"['CT', 'CEUS']",,,,,,
Angelini_2021,Angelini,2021,Utility of Bosniak classification version 2019 for Contrast-Enhanced Ultrasound (CEUS) evaluation of cystic renal masses,European Urology,,,Italy,retrospective single-center,2017-03,2019-03,,,,97,,,,,,,,,,,,,original (1993/2005) vs v2019,['CEUS'],,,,,,
Oon_2018,Oon,2018,Contrast-enhanced ultrasound of the kidney: a single-institution experience,Irish Journal of Medical Science,10.1007/s11845-017-1725-6,,Ireland,retrospective single-center,2009,2017,,,31,21,57,mean,,,,,,,,,,,"original (1993/2005), modified for CEUS","['CT', 'MRI', 'CEUS']",,,,,,
Reizine_2024,Reizine,2024,Applicability of Bosniak 2019 for renal mass classification on portal venous phase at the era of spectral CT imaging using rapid kV-switching dual-energy CT,European Radiology,10.1007/s00330-023-10145-w,,France,retrospective single-center,2018-02,2022-02,,,65,,67,median,70.8,,,,,,,,,,v2019,"['rsDECT', 'MRI']",,,,,,
Ignee_2010,Ignee,2010,The value of contrast enhanced ultrasound (CEUS) in the characterisation of patients with renal masses,Clinical Hemorheology and Microcirculation,10.3233/CH-2010-1352,,Germany,prospective single-center,2002-01,2009-06,,,143,,66,median,57,,,,,,,,,,"original (1993), modified for CEUS","['CEUS', 'CECT']",,,,,,
Park_2007,Park,2007,Assessment of cystic renal masses based on Bosniak classification: comparison of CT and contrast-enhanced US.,European Journal of Radiology,10.1016/j.ejrad.2006.10.004,journal_article,South Korea,retrospective,2001-01,2005-10,academic,"Pathologically confirmed cystic renal masses incidentally detected by conventional US; 26 lesions categorized as Bosniak III or IV on CT, 5 lesions with discrepant CT and conventional US findings; all underwent CT and CEUS prior to surgery",31,31,50,mean,74.2,4.14,0.8-9.7,,,,,,0.839,"Histopathology (radical nephrectomy n=27, partial nephrectomy n=3, percutaneous biopsy n=1)",2005,"['CT', 'CEUS']",,,,,,
Anshulmeena_2026,Anshulmeena,2026,"CT versus MRI for Bosniak v2019 Renal Cystic Lesions: Comparative Evaluation of Wall/Septal Features, Calcification Detection, and Category Upgrading",International Journal of Life Sciences Biotechnology and Pharma Research,,journal_article,India,cross-sectional,,,academic,"Patients referred for evaluation of cystic renal pathology or incidental cystic renal lesions on USG/CT/MRI; irrespective of age and gender; excluded: unwilling patients, claustrophobic patients, pregnant females",50,50,50.7,mean,58,,,,,,,,,Histopathology for surgically resected Bosniak III and IV lesions,2019,"['CT', 'MRI']",,,,,,
Spyridon_2018,Spyridon,2018,Comparison of contrast-enhanced ultrasound with CT for the Bosniak classification of complex renal cysts,Conference abstract (ESUR),,conference_abstract,Unknown,retrospective,,,,,,,,,,,,,,,,,,,,,,,,,,
Alvarez_2013,Alvarez,2013,Bosniak classification for complex renal cysts: CEUS versus CT,Unknown,,conference_abstract,Unknown,retrospective,,,,,,,,,,,,,,,,,,,,,,,,,,
